"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"People in families","Georgia","(X)","(X)","16.10%","±0.2",2015
"Unrelated individuals 15 years and over","Georgia","(X)","(X)","29.30%","±0.3",2015
"All families","Hawaii","(X)","(X)","7.70%","±0.3",2015
"With related children of the householder under 18 years","Hawaii","(X)","(X)","11.60%","±0.6",2015
"With related children of the householder under 5 years only","Hawaii","(X)","(X)","10.30%","±1.1",2015
"Married couple families","Hawaii","(X)","(X)","4.50%","±0.3",2015
"With related children of the householder under 18 years","Hawaii","(X)","(X)","5.60%","±0.4",2015
"With related children of the householder under 5 years only","Hawaii","(X)","(X)","3.30%","±0.7",2015
"Families with female householder, no husband present","Hawaii","(X)","(X)","19.90%","±1.2",2015
"With related children of the householder under 18 years","Hawaii","(X)","(X)","29.70%","±1.9",2015
"With related children of the householder under 5 years only","Hawaii","(X)","(X)","32.80%","±3.9",2015
"All people","Hawaii","(X)","(X)","11.20%","±0.4",2015
"Under 18 years","Hawaii","(X)","(X)","15.20%","±0.8",2015
"Related children of the householder under 18 years","Hawaii","(X)","(X)","14.80%","±0.8",2015
"Related children of the householder under 5 years","Hawaii","(X)","(X)","15.40%","±1.0",2015
"Related children of the householder 5 to 17 years","Hawaii","(X)","(X)","14.50%","±0.9",2015
"18 years and over","Hawaii","(X)","(X)","10.10%","±0.3",2015
"18 to 64 years","Hawaii","(X)","(X)","10.70%","±0.3",2015
"65 years and over","Hawaii","(X)","(X)","7.60%","±0.4",2015
"People in families","Hawaii","(X)","(X)","8.30%","±0.4",2015
"Unrelated individuals 15 years and over","Hawaii","(X)","(X)","24.90%","±0.6",2015
"All families","Idaho","(X)","(X)","10.90%","±0.4",2015
"With related children of the householder under 18 years","Idaho","(X)","(X)","16.90%","±0.7",2015
"With related children of the householder under 5 years only","Idaho","(X)","(X)","20.10%","±1.5",2015
"Married couple families","Idaho","(X)","(X)","6.50%","±0.3",2015
"With related children of the householder under 18 years","Idaho","(X)","(X)","9.20%","±0.5",2015
"With related children of the householder under 5 years only","Idaho","(X)","(X)","11.40%","±1.2",2015
"Families with female householder, no husband present","Idaho","(X)","(X)","33.50%","±1.5",2015
"With related children of the householder under 18 years","Idaho","(X)","(X)","44.00%","±2.0",2015
"With related children of the householder under 5 years only","Idaho","(X)","(X)","50.00%","±4.8",2015
"All people","Idaho","(X)","(X)","15.50%","±0.4",2015
"Under 18 years","Idaho","(X)","(X)","19.20%","±1.0",2015
"Related children of the householder under 18 years","Idaho","(X)","(X)","18.80%","±1.0",2015
"Related children of the householder under 5 years","Idaho","(X)","(X)","21.80%","±1.3",2015
"Related children of the householder 5 to 17 years","Idaho","(X)","(X)","17.80%","±1.0",2015
"18 years and over","Idaho","(X)","(X)","14.10%","±0.3",2015
"18 to 64 years","Idaho","(X)","(X)","15.40%","±0.4",2015
"65 years and over","Idaho","(X)","(X)","8.50%","±0.5",2015
"People in families","Idaho","(X)","(X)","12.10%","±0.5",2015
"Unrelated individuals 15 years and over","Idaho","(X)","(X)","31.40%","±0.7",2015
"All families","Illinois","(X)","(X)","10.50%","±0.1",2015
"With related children of the householder under 18 years","Illinois","(X)","(X)","16.80%","±0.2",2015
"With related children of the householder under 5 years only","Illinois","(X)","(X)","16.70%","±0.5",2015
"Married couple families","Illinois","(X)","(X)","4.80%","±0.1",2015
"With related children of the householder under 18 years","Illinois","(X)","(X)","7.20%","±0.2",2015
"With related children of the householder under 5 years only","Illinois","(X)","(X)","5.50%","±0.4",2015
"Families with female householder, no husband present","Illinois","(X)","(X)","30.40%","±0.5",2015
"With related children of the householder under 18 years","Illinois","(X)","(X)","40.60%","±0.7",2015
"With related children of the householder under 5 years only","Illinois","(X)","(X)","47.40%","±1.6",2015
"All people","Illinois","(X)","(X)","14.30%","±0.1",2015
"Under 18 years","Illinois","(X)","(X)","20.30%","±0.3",2015
"Related children of the householder under 18 years","Illinois","(X)","(X)","20.00%","±0.3",2015
"Related children of the householder under 5 years","Illinois","(X)","(X)","22.70%","±0.5",2015
"Related children of the householder 5 to 17 years","Illinois","(X)","(X)","19.00%","±0.3",2015
"18 years and over","Illinois","(X)","(X)","12.50%","±0.1",2015
"18 to 64 years","Illinois","(X)","(X)","13.30%","±0.1",2015
"65 years and over","Illinois","(X)","(X)","8.60%","±0.1",2015
"People in families","Illinois","(X)","(X)","11.90%","±0.1",2015
"Unrelated individuals 15 years and over","Illinois","(X)","(X)","25.10%","±0.2",2015
"All families","Indiana","(X)","(X)","11.10%","±0.2",2015
"With related children of the householder under 18 years","Indiana","(X)","(X)","18.40%","±0.3",2015
"With related children of the householder under 5 years only","Indiana","(X)","(X)","20.90%","±0.7",2015
"Married couple families","Indiana","(X)","(X)","4.80%","±0.1",2015
"With related children of the householder under 18 years","Indiana","(X)","(X)","7.30%","±0.3",2015
"With related children of the householder under 5 years only","Indiana","(X)","(X)","6.70%","±0.6",2015
"Families with female householder, no husband present","Indiana","(X)","(X)","33.60%","±0.5",2015
"With related children of the householder under 18 years","Indiana","(X)","(X)","43.70%","±0.7",2015
"With related children of the householder under 5 years only","Indiana","(X)","(X)","53.20%","±1.7",2015
"All people","Indiana","(X)","(X)","15.40%","±0.2",2015
"Under 18 years","Indiana","(X)","(X)","21.90%","±0.4",2015
"Related children of the householder under 18 years","Indiana","(X)","(X)","21.50%","±0.4",2015
"Related children of the householder under 5 years","Indiana","(X)","(X)","26.00%","±0.6",2015
"Related children of the householder 5 to 17 years","Indiana","(X)","(X)","19.80%","±0.5",2015
"18 years and over","Indiana","(X)","(X)","13.30%","±0.1",2015
"18 to 64 years","Indiana","(X)","(X)","14.60%","±0.2",2015
"65 years and over","Indiana","(X)","(X)","7.30%","±0.2",2015
"People in families","Indiana","(X)","(X)","12.50%","±0.2",2015
"Unrelated individuals 15 years and over","Indiana","(X)","(X)","27.60%","±0.3",2015
"All families","Iowa","(X)","(X)","8.10%","±0.2",2015
"With related children of the householder under 18 years","Iowa","(X)","(X)","13.80%","±0.4",2015
"With related children of the householder under 5 years only","Iowa","(X)","(X)","15.60%","±0.9",2015
"Married couple families","Iowa","(X)","(X)","3.50%","±0.1",2015
"With related children of the householder under 18 years","Iowa","(X)","(X)","5.10%","±0.2",2015
"With related children of the householder under 5 years only","Iowa","(X)","(X)","4.30%","±0.6",2015
"Families with female householder, no husband present","Iowa","(X)","(X)","30.30%","±1.0",2015
"With related children of the householder under 18 years","Iowa","(X)","(X)","38.90%","±1.2",2015
"With related children of the householder under 5 years only","Iowa","(X)","(X)","49.10%","±2.9",2015
"All people","Iowa","(X)","(X)","12.50%","±0.2",2015
"Under 18 years","Iowa","(X)","(X)","15.80%","±0.5",2015
"Related children of the householder under 18 years","Iowa","(X)","(X)","15.40%","±0.5",2015
"Related children of the householder under 5 years","Iowa","(X)","(X)","17.80%","±0.7",2015
"Related children of the householder 5 to 17 years","Iowa","(X)","(X)","14.50%","±0.5",2015
"18 years and over","Iowa","(X)","(X)","11.50%","±0.2",2015
"18 to 64 years","Iowa","(X)","(X)","12.50%","±0.2",2015
"65 years and over","Iowa","(X)","(X)","7.40%","±0.2",2015
"People in families","Iowa","(X)","(X)","9.00%","±0.2",2015
"Unrelated individuals 15 years and over","Iowa","(X)","(X)","26.10%","±0.4",2015
"All families","Kansas","(X)","(X)","9.10%","±0.2",2015
"With related children of the householder under 18 years","Kansas","(X)","(X)","15.00%","±0.4",2015
"With related children of the householder under 5 years only","Kansas","(X)","(X)","16.50%","±0.9",2015
"Married couple families","Kansas","(X)","(X)","4.30%","±0.2",2015
"With related children of the householder under 18 years","Kansas","(X)","(X)","6.70%","±0.3",2015
"With related children of the householder under 5 years only","Kansas","(X)","(X)","6.00%","±0.6",2015
"Families with female householder, no husband present","Kansas","(X)","(X)","30.30%","±0.7",2015
"With related children of the householder under 18 years","Kansas","(X)","(X)","39.00%","±1.0",2015
"With related children of the householder under 5 years only","Kansas","(X)","(X)","46.50%","±2.5",2015
"All people","Kansas","(X)","(X)","13.60%","±0.2",2015
"Under 18 years","Kansas","(X)","(X)","18.10%","±0.5",2015
"Related children of the householder under 18 years","Kansas","(X)","(X)","17.70%","±0.5",2015
"Related children of the householder under 5 years","Kansas","(X)","(X)","21.50%","±0.8",2015
"Related children of the householder 5 to 17 years","Kansas","(X)","(X)","16.20%","±0.6",2015
"18 years and over","Kansas","(X)","(X)","12.00%","±0.2",2015
"18 to 64 years","Kansas","(X)","(X)","13.10%","±0.2",2015
"65 years and over","Kansas","(X)","(X)","7.40%","±0.3",2015
"People in families","Kansas","(X)","(X)","10.40%","±0.3",2015
"Unrelated individuals 15 years and over","Kansas","(X)","(X)","27.00%","±0.4",2015
"All families","Kentucky","(X)","(X)","14.40%","±0.2",2015
"With related children of the householder under 18 years","Kentucky","(X)","(X)","22.70%","±0.4",2015
"With related children of the householder under 5 years only","Kentucky","(X)","(X)","25.80%","±1.1",2015
"Married couple families","Kentucky","(X)","(X)","7.40%","±0.2",2015
"With related children of the householder under 18 years","Kentucky","(X)","(X)","10.40%","±0.4",2015
"With related children of the householder under 5 years only","Kentucky","(X)","(X)","10.60%","±0.8",2015
"Families with female householder, no husband present","Kentucky","(X)","(X)","38.00%","±0.7",2015
"With related children of the householder under 18 years","Kentucky","(X)","(X)","49.30%","±0.9",2015
"With related children of the householder under 5 years only","Kentucky","(X)","(X)","59.40%","±2.3",2015
"All people","Kentucky","(X)","(X)","18.90%","±0.3",2015
"Under 18 years","Kentucky","(X)","(X)","26.10%","±0.6",2015
"Related children of the householder under 18 years","Kentucky","(X)","(X)","25.70%","±0.6",2015
"Related children of the householder under 5 years","Kentucky","(X)","(X)","30.00%","±0.9",2015
"Related children of the householder 5 to 17 years","Kentucky","(X)","(X)","24.10%","±0.6",2015
"18 years and over","Kentucky","(X)","(X)","16.70%","±0.2",2015
"18 to 64 years","Kentucky","(X)","(X)","17.90%","±0.2",2015
"65 years and over","Kentucky","(X)","(X)","11.60%","±0.2",2015
"People in families","Kentucky","(X)","(X)","15.70%","±0.3",2015
"Unrelated individuals 15 years and over","Kentucky","(X)","(X)","32.80%","±0.4",2015
"All families","Louisiana","(X)","(X)","15.20%","±0.2",2015
"With related children of the householder under 18 years","Louisiana","(X)","(X)","23.30%","±0.4",2015
"With related children of the householder under 5 years only","Louisiana","(X)","(X)","24.80%","±0.9",2015
"Married couple families","Louisiana","(X)","(X)","5.80%","±0.2",2015
"With related children of the householder under 18 years","Louisiana","(X)","(X)","7.10%","±0.3",2015
"With related children of the householder under 5 years only","Louisiana","(X)","(X)","7.10%","±0.7",2015
"Families with female householder, no husband present","Louisiana","(X)","(X)","38.70%","±0.6",2015
"With related children of the householder under 18 years","Louisiana","(X)","(X)","48.90%","±0.8",2015
"With related children of the householder under 5 years only","Louisiana","(X)","(X)","55.00%","±1.9",2015
"All people","Louisiana","(X)","(X)","19.80%","±0.2",2015
"Under 18 years","Louisiana","(X)","(X)","28.00%","±0.5",2015
"Related children of the householder under 18 years","Louisiana","(X)","(X)","27.70%","±0.5",2015
"Related children of the householder under 5 years","Louisiana","(X)","(X)","30.90%","±0.6",2015
"Related children of the householder 5 to 17 years","Louisiana","(X)","(X)","26.50%","±0.5",2015
"18 years and over","Louisiana","(X)","(X)","17.10%","±0.2",2015
"18 to 64 years","Louisiana","(X)","(X)","18.00%","±0.2",2015
"65 years and over","Louisiana","(X)","(X)","12.80%","±0.3",2015
"People in families","Louisiana","(X)","(X)","16.90%","±0.3",2015
"Unrelated individuals 15 years and over","Louisiana","(X)","(X)","32.10%","±0.4",2015
"All families","Maine","(X)","(X)","9.30%","±0.4",2015
"With related children of the householder under 18 years","Maine","(X)","(X)","16.60%","±0.7",2015
"With related children of the householder under 5 years only","Maine","(X)","(X)","20.90%","±1.8",2015
"Married couple families","Maine","(X)","(X)","4.40%","±0.2",2015
"With related children of the householder under 18 years","Maine","(X)","(X)","6.50%","±0.4",2015
"With related children of the householder under 5 years only","Maine","(X)","(X)","7.10%","±1.2",2015
"Families with female householder, no husband present","Maine","(X)","(X)","30.60%","±1.4",2015
"With related children of the householder under 18 years","Maine","(X)","(X)","39.90%","±1.8",2015
"With related children of the householder under 5 years only","Maine","(X)","(X)","55.00%","±5.0",2015
"All people","Maine","(X)","(X)","13.90%","±0.3",2015
"Under 18 years","Maine","(X)","(X)","18.60%","±0.8",2015
"Related children of the householder under 18 years","Maine","(X)","(X)","18.00%","±0.8",2015
"Related children of the householder under 5 years","Maine","(X)","(X)","23.40%","±1.3",2015
"Related children of the householder 5 to 17 years","Maine","(X)","(X)","16.20%","±0.8",2015
"18 years and over","Maine","(X)","(X)","12.80%","±0.3",2015
"18 to 64 years","Maine","(X)","(X)","14.00%","±0.3",2015
"65 years and over","Maine","(X)","(X)","8.60%","±0.3",2015
"People in families","Maine","(X)","(X)","10.00%","±0.4",2015
"Unrelated individuals 15 years and over","Maine","(X)","(X)","26.90%","±0.6",2015
"All families","Maryland","(X)","(X)","7.00%","±0.2",2015
"With related children of the householder under 18 years","Maryland","(X)","(X)","10.70%","±0.3",2015
"With related children of the householder under 5 years only","Maryland","(X)","(X)","10.60%","±0.6",2015
"Married couple families","Maryland","(X)","(X)","2.90%","±0.1",2015
"With related children of the householder under 18 years","Maryland","(X)","(X)","3.70%","±0.2",2015
"With related children of the householder under 5 years only","Maryland","(X)","(X)","3.40%","±0.5",2015
"Families with female householder, no husband present","Maryland","(X)","(X)","19.50%","±0.6",2015
"With related children of the householder under 18 years","Maryland","(X)","(X)","26.50%","±0.8",2015
"With related children of the householder under 5 years only","Maryland","(X)","(X)","29.50%","±2.0",2015
"All people","Maryland","(X)","(X)","10.00%","±0.2",2015
"Under 18 years","Maryland","(X)","(X)","13.30%","±0.4",2015
"Related children of the householder under 18 years","Maryland","(X)","(X)","12.90%","±0.4",2015
"Related children of the householder under 5 years","Maryland","(X)","(X)","15.10%","±0.6",2015
"Related children of the householder 5 to 17 years","Maryland","(X)","(X)","12.10%","±0.4",2015
"18 years and over","Maryland","(X)","(X)","9.00%","±0.1",2015
"18 to 64 years","Maryland","(X)","(X)","9.30%","±0.1",2015
"65 years and over","Maryland","(X)","(X)","7.50%","±0.2",2015
"People in families","Maryland","(X)","(X)","7.50%","±0.2",2015
"Unrelated individuals 15 years and over","Maryland","(X)","(X)","20.70%","±0.3",2015
"All families","Massachusetts","(X)","(X)","8.20%","±0.1",2015
"With related children of the householder under 18 years","Massachusetts","(X)","(X)","13.10%","±0.3",2015
"With related children of the householder under 5 years only","Massachusetts","(X)","(X)","12.30%","±0.6",2015
"Married couple families","Massachusetts","(X)","(X)","3.20%","±0.1",2015
"With related children of the householder under 18 years","Massachusetts","(X)","(X)","3.90%","±0.2",2015
"With related children of the householder under 5 years only","Massachusetts","(X)","(X)","3.60%","±0.5",2015
"Families with female householder, no husband present","Massachusetts","(X)","(X)","25.50%","±0.4",2015
"With related children of the householder under 18 years","Massachusetts","(X)","(X)","35.30%","±0.7",2015
"With related children of the householder under 5 years only","Massachusetts","(X)","(X)","39.20%","±1.9",2015
"All people","Massachusetts","(X)","(X)","11.60%","±0.1",2015
"Under 18 years","Massachusetts","(X)","(X)","15.20%","±0.4",2015
"Related children of the householder under 18 years","Massachusetts","(X)","(X)","14.80%","±0.4",2015
"Related children of the householder under 5 years","Massachusetts","(X)","(X)","17.00%","±0.6",2015
"Related children of the householder 5 to 17 years","Massachusetts","(X)","(X)","14.00%","±0.4",2015
"18 years and over","Massachusetts","(X)","(X)","10.60%","±0.1",2015
"18 to 64 years","Massachusetts","(X)","(X)","10.90%","±0.1",2015
"65 years and over","Massachusetts","(X)","(X)","9.20%","±0.2",2015
"People in families","Massachusetts","(X)","(X)","8.50%","±0.2",2015
"Unrelated individuals 15 years and over","Massachusetts","(X)","(X)","23.10%","±0.3",2015
"All families","Michigan","(X)","(X)","11.90%","±0.1",2015
"With related children of the householder under 18 years","Michigan","(X)","(X)","20.00%","±0.3",2015
"With related children of the householder under 5 years only","Michigan","(X)","(X)","22.90%","±0.6",2015
"Married couple families","Michigan","(X)","(X)","5.30%","±0.1",2015
"With related children of the householder under 18 years","Michigan","(X)","(X)","8.40%","±0.2",2015
"With related children of the householder under 5 years only","Michigan","(X)","(X)","8.00%","±0.5",2015
"Families with female householder, no husband present","Michigan","(X)","(X)","34.00%","±0.4",2015
"With related children of the householder under 18 years","Michigan","(X)","(X)","45.30%","±0.6",2015
"With related children of the householder under 5 years only","Michigan","(X)","(X)","52.80%","±1.5",2015
"All people","Michigan","(X)","(X)","16.70%","±0.1",2015
"Under 18 years","Michigan","(X)","(X)","23.50%","±0.3",2015
"Related children of the householder under 18 years","Michigan","(X)","(X)","23.10%","±0.3",2015
"Related children of the householder under 5 years","Michigan","(X)","(X)","27.60%","±0.5",2015
"Related children of the householder 5 to 17 years","Michigan","(X)","(X)","21.60%","±0.3",2015
"18 years and over","Michigan","(X)","(X)","14.70%","±0.1",2015
"18 to 64 years","Michigan","(X)","(X)","16.30%","±0.1",2015
"65 years and over","Michigan","(X)","(X)","8.10%","±0.1",2015
"People in families","Michigan","(X)","(X)","13.60%","±0.2",2015
"Unrelated individuals 15 years and over","Michigan","(X)","(X)","29.40%","±0.2",2015
"All families","Minnesota","(X)","(X)","7.30%","±0.1",2015
"With related children of the householder under 18 years","Minnesota","(X)","(X)","12.20%","±0.3",2015
"With related children of the householder under 5 years only","Minnesota","(X)","(X)","13.60%","±0.7",2015
"Married couple families","Minnesota","(X)","(X)","3.10%","±0.1",2015
"With related children of the householder under 18 years","Minnesota","(X)","(X)","4.50%","±0.2",2015
"With related children of the householder under 5 years only","Minnesota","(X)","(X)","3.40%","±0.4",2015
"Families with female householder, no husband present","Minnesota","(X)","(X)","27.10%","±0.7",2015
"With related children of the householder under 18 years","Minnesota","(X)","(X)","35.10%","±1.0",2015
"With related children of the householder under 5 years only","Minnesota","(X)","(X)","45.60%","±2.0",2015
"All people","Minnesota","(X)","(X)","11.30%","±0.2",2015
"Under 18 years","Minnesota","(X)","(X)","14.50%","±0.4",2015
"Related children of the householder under 18 years","Minnesota","(X)","(X)","14.10%","±0.4",2015
"Related children of the householder under 5 years","Minnesota","(X)","(X)","16.80%","±0.5",2015
"Related children of the householder 5 to 17 years","Minnesota","(X)","(X)","13.10%","±0.4",2015
"18 years and over","Minnesota","(X)","(X)","10.30%","±0.1",2015
"18 to 64 years","Minnesota","(X)","(X)","10.90%","±0.2",2015
"65 years and over","Minnesota","(X)","(X)","7.60%","±0.2",2015
"People in families","Minnesota","(X)","(X)","8.10%","±0.2",2015
"Unrelated individuals 15 years and over","Minnesota","(X)","(X)","23.30%","±0.3",2015
"All families","Mississippi","(X)","(X)","17.60%","±0.3",2015
"With related children of the householder under 18 years","Mississippi","(X)","(X)","27.00%","±0.5",2015
"With related children of the householder under 5 years only","Mississippi","(X)","(X)","26.10%","±1.3",2015
"Married couple families","Mississippi","(X)","(X)","7.30%","±0.3",2015
"With related children of the householder under 18 years","Mississippi","(X)","(X)","10.50%","±0.5",2015
"With related children of the householder under 5 years only","Mississippi","(X)","(X)","9.00%","±1.2",2015
"Families with female householder, no husband present","Mississippi","(X)","(X)","41.10%","±0.7",2015
"With related children of the householder under 18 years","Mississippi","(X)","(X)","51.00%","±0.9",2015
"With related children of the householder under 5 years only","Mississippi","(X)","(X)","53.60%","±2.9",2015
"All people","Mississippi","(X)","(X)","22.50%","±0.3",2015
"Under 18 years","Mississippi","(X)","(X)","31.80%","±0.6",2015
"Related children of the householder under 18 years","Mississippi","(X)","(X)","31.60%","±0.6",2015
"Related children of the householder under 5 years","Mississippi","(X)","(X)","35.00%","±1.0",2015
"Related children of the householder 5 to 17 years","Mississippi","(X)","(X)","30.30%","±0.7",2015
"18 years and over","Mississippi","(X)","(X)","19.40%","±0.3",2015
"18 to 64 years","Mississippi","(X)","(X)","20.70%","±0.3",2015
"65 years and over","Mississippi","(X)","(X)","13.70%","±0.4",2015
"People in families","Mississippi","(X)","(X)","20.00%","±0.4",2015
"Unrelated individuals 15 years and over","Mississippi","(X)","(X)","35.60%","±0.6",2015
"All families","Missouri","(X)","(X)","11.10%","±0.2",2015
"With related children of the householder under 18 years","Missouri","(X)","(X)","18.20%","±0.3",2015
"With related children of the householder under 5 years only","Missouri","(X)","(X)","19.40%","±0.7",2015
"Married couple families","Missouri","(X)","(X)","5.20%","±0.1",2015
"With related children of the householder under 18 years","Missouri","(X)","(X)","7.40%","±0.3",2015
"With related children of the householder under 5 years only","Missouri","(X)","(X)","6.70%","±0.6",2015
"Families with female householder, no husband present","Missouri","(X)","(X)","32.10%","±0.6",2015
"With related children of the householder under 18 years","Missouri","(X)","(X)","42.10%","±0.8",2015
"With related children of the householder under 5 years only","Missouri","(X)","(X)","48.70%","±2.0",2015
"All people","Missouri","(X)","(X)","15.60%","±0.2",2015
"Under 18 years","Missouri","(X)","(X)","21.70%","±0.4",2015
"Related children of the householder under 18 years","Missouri","(X)","(X)","21.30%","±0.4",2015
"Related children of the householder under 5 years","Missouri","(X)","(X)","25.60%","±0.6",2015
"Related children of the householder 5 to 17 years","Missouri","(X)","(X)","19.70%","±0.4",2015
"18 years and over","Missouri","(X)","(X)","13.80%","±0.2",2015
"18 to 64 years","Missouri","(X)","(X)","15.00%","±0.2",2015
"65 years and over","Missouri","(X)","(X)","8.90%","±0.2",2015
"People in families","Missouri","(X)","(X)","12.50%","±0.2",2015
"Unrelated individuals 15 years and over","Missouri","(X)","(X)","28.30%","±0.4",2015
"All families","Montana","(X)","(X)","9.90%","±0.3",2015
"With related children of the householder under 18 years","Montana","(X)","(X)","17.00%","±0.7",2015
"With related children of the householder under 5 years only","Montana","(X)","(X)","19.40%","±1.7",2015
"Married couple families","Montana","(X)","(X)","5.00%","±0.3",2015
"With related children of the householder under 18 years","Montana","(X)","(X)","7.40%","±0.6",2015
"With related children of the householder under 5 years only","Montana","(X)","(X)","7.70%","±1.2",2015
"Families with female householder, no husband present","Montana","(X)","(X)","34.00%","±1.6",2015
"With related children of the householder under 18 years","Montana","(X)","(X)","43.90%","±2.2",2015
"With related children of the householder under 5 years only","Montana","(X)","(X)","52.60%","±5.3",2015
"All people","Montana","(X)","(X)","15.20%","±0.3",2015
"Under 18 years","Montana","(X)","(X)","19.60%","±0.8",2015
"Related children of the householder under 18 years","Montana","(X)","(X)","19.20%","±0.8",2015
"Related children of the householder under 5 years","Montana","(X)","(X)","22.30%","±1.2",2015
"Related children of the householder 5 to 17 years","Montana","(X)","(X)","18.00%","±1.0",2015
"18 years and over","Montana","(X)","(X)","14.00%","±0.3",2015
"18 to 64 years","Montana","(X)","(X)","15.40%","±0.3",2015
"65 years and over","Montana","(X)","(X)","8.30%","±0.5",2015
"People in families","Montana","(X)","(X)","11.30%","±0.4",2015
"Unrelated individuals 15 years and over","Montana","(X)","(X)","28.80%","±0.7",2015
"All families","Nebraska","(X)","(X)","8.70%","±0.2",2015
"With related children of the householder under 18 years","Nebraska","(X)","(X)","14.60%","±0.5",2015
"With related children of the householder under 5 years only","Nebraska","(X)","(X)","18.20%","±1.3",2015
"Married couple families","Nebraska","(X)","(X)","4.10%","±0.2",2015
"With related children of the householder under 18 years","Nebraska","(X)","(X)","6.30%","±0.4",2015
"With related children of the householder under 5 years only","Nebraska","(X)","(X)","6.40%","±1.0",2015
"Families with female householder, no husband present","Nebraska","(X)","(X)","30.30%","±1.1",2015
"With related children of the householder under 18 years","Nebraska","(X)","(X)","38.70%","±1.4",2015
"With related children of the householder under 5 years only","Nebraska","(X)","(X)","51.10%","±3.0",2015
"All people","Nebraska","(X)","(X)","12.70%","±0.3",2015
"Under 18 years","Nebraska","(X)","(X)","17.10%","±0.6",2015
"Related children of the householder under 18 years","Nebraska","(X)","(X)","16.60%","±0.6",2015
"Related children of the householder under 5 years","Nebraska","(X)","(X)","20.70%","±0.9",2015
"Related children of the householder 5 to 17 years","Nebraska","(X)","(X)","15.00%","±0.5",2015
"18 years and over","Nebraska","(X)","(X)","11.30%","±0.2",2015
"18 to 64 years","Nebraska","(X)","(X)","12.10%","±0.3",2015
"65 years and over","Nebraska","(X)","(X)","7.80%","±0.3",2015
"People in families","Nebraska","(X)","(X)","9.90%","±0.3",2015
"Unrelated individuals 15 years and over","Nebraska","(X)","(X)","24.10%","±0.5",2015
"All families","Nevada","(X)","(X)","11.40%","±0.3",2015
"With related children of the householder under 18 years","Nevada","(X)","(X)","17.80%","±0.4",2015
"With related children of the householder under 5 years only","Nevada","(X)","(X)","17.50%","±1.3",2015
"Married couple families","Nevada","(X)","(X)","6.60%","±0.3",2015
"With related children of the householder under 18 years","Nevada","(X)","(X)","10.10%","±0.5",2015
"With related children of the householder under 5 years only","Nevada","(X)","(X)","7.60%","±1.1",2015
"Families with female householder, no husband present","Nevada","(X)","(X)","26.40%","±0.9",2015
"With related children of the householder under 18 years","Nevada","(X)","(X)","34.70%","±1.1",2015
"With related children of the householder under 5 years only","Nevada","(X)","(X)","38.50%","±3.3",2015
"All people","Nevada","(X)","(X)","15.50%","±0.3",2015
"Under 18 years","Nevada","(X)","(X)","22.10%","±0.6",2015
"Related children of the householder under 18 years","Nevada","(X)","(X)","21.70%","±0.6",2015
"Related children of the householder under 5 years","Nevada","(X)","(X)","25.20%","±0.9",2015
"Related children of the householder 5 to 17 years","Nevada","(X)","(X)","20.40%","±0.7",2015
"18 years and over","Nevada","(X)","(X)","13.40%","±0.2",2015
"18 to 64 years","Nevada","(X)","(X)","14.50%","±0.3",2015
"65 years and over","Nevada","(X)","(X)","8.40%","±0.3",2015
"People in families","Nevada","(X)","(X)","13.00%","±0.3",2015
"Unrelated individuals 15 years and over","Nevada","(X)","(X)","25.00%","±0.5",2015
"All families","New Hampshire","(X)","(X)","5.60%","±0.3",2015
"With related children of the householder under 18 years","New Hampshire","(X)","(X)","9.90%","±0.6",2015
"With related children of the householder under 5 years only","New Hampshire","(X)","(X)","11.70%","±1.6",2015
"Married couple families","New Hampshire","(X)","(X)","2.40%","±0.2",2015
"With related children of the householder under 18 years","New Hampshire","(X)","(X)","3.40%","±0.4",2015
"With related children of the householder under 5 years only","New Hampshire","(X)","(X)","3.70%","±1.1",2015
"Families with female householder, no husband present","New Hampshire","(X)","(X)","21.60%","±1.2",2015
"With related children of the householder under 18 years","New Hampshire","(X)","(X)","30.40%","±1.8",2015
"With related children of the householder under 5 years only","New Hampshire","(X)","(X)","38.70%","±4.9",2015
"All people","New Hampshire","(X)","(X)","8.90%","±0.3",2015
"Under 18 years","New Hampshire","(X)","(X)","11.90%","±0.8",2015
"Related children of the householder under 18 years","New Hampshire","(X)","(X)","11.50%","±0.8",2015
"Related children of the householder under 5 years","New Hampshire","(X)","(X)","14.20%","±1.4",2015
"Related children of the householder 5 to 17 years","New Hampshire","(X)","(X)","10.60%","±0.8",2015
"18 years and over","New Hampshire","(X)","(X)","8.10%","±0.3",2015
"18 to 64 years","New Hampshire","(X)","(X)","8.60%","±0.3",2015
"65 years and over","New Hampshire","(X)","(X)","5.90%","±0.4",2015
"People in families","New Hampshire","(X)","(X)","6.10%","±0.3",2015
"Unrelated individuals 15 years and over","New Hampshire","(X)","(X)","20.30%","±0.6",2015
"All families","New Jersey","(X)","(X)","8.20%","±0.1",2015
"With related children of the householder under 18 years","New Jersey","(X)","(X)","12.70%","±0.2",2015
"With related children of the householder under 5 years only","New Jersey","(X)","(X)","12.30%","±0.6",2015
"Married couple families","New Jersey","(X)","(X)","3.80%","±0.1",2015
"With related children of the householder under 18 years","New Jersey","(X)","(X)","5.00%","±0.2",2015
"With related children of the householder under 5 years only","New Jersey","(X)","(X)","4.30%","±0.4",2015
"Families with female householder, no husband present","New Jersey","(X)","(X)","23.20%","±0.4",2015
"With related children of the householder under 18 years","New Jersey","(X)","(X)","33.30%","±0.6",2015
