"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"$75,000 to $99,999","Indiana","256,153","±3,249","15.50%","±0.2",2014
"$100,000 to $149,999","Indiana","244,305","±3,303","14.80%","±0.2",2014
"$150,000 to $199,999","Indiana","70,947","±1,907","4.30%","±0.1",2014
"$200,000 or more","Indiana","58,865","±1,409","3.60%","±0.1",2014
"Median family income (dollars)","Indiana","60,440","±310","(X)","(X)",2014
"Mean family income (dollars)","Indiana","75,012","±412","(X)","(X)",2014
"Per capita income (dollars)","Indiana","24,953","±124","(X)","(X)",2014
"Nonfamily households","Indiana","836,027","±4,965","836,027","(X)",2014
"Median nonfamily income (dollars)","Indiana","28,641","±293","(X)","(X)",2014
"Mean nonfamily income (dollars)","Indiana","38,734","±360","(X)","(X)",2014
"Median earnings for workers (dollars)","Indiana","28,819","±184","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Indiana","46,845","±241","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Indiana","34,936","±191","(X)","(X)",2014
"Total households","Iowa","1,232,228","±3,504","1,232,228","(X)",2014
"Less than $10,000","Iowa","75,677","±1,643","6.10%","±0.1",2014
"$10,000 to $14,999","Iowa","63,143","±1,469","5.10%","±0.1",2014
"$15,000 to $24,999","Iowa","132,072","±2,114","10.70%","±0.2",2014
"$25,000 to $34,999","Iowa","133,137","±1,939","10.80%","±0.2",2014
"$35,000 to $49,999","Iowa","179,656","±2,068","14.60%","±0.2",2014
"$50,000 to $74,999","Iowa","246,838","±2,783","20.00%","±0.2",2014
"$75,000 to $99,999","Iowa","167,120","±2,163","13.60%","±0.2",2014
"$100,000 to $149,999","Iowa","152,618","±2,091","12.40%","±0.2",2014
"$150,000 to $199,999","Iowa","44,860","±1,247","3.60%","±0.1",2014
"$200,000 or more","Iowa","37,107","±1,080","3.00%","±0.1",2014
"Median household income (dollars)","Iowa","52,716","±271","(X)","(X)",2014
"Mean household income (dollars)","Iowa","67,621","±359","(X)","(X)",2014
"With earnings","Iowa","977,723","±3,444","79.30%","±0.2",2014
"Mean earnings (dollars)","Iowa","67,545","±441","(X)","(X)",2014
"With Social Security","Iowa","369,307","±2,065","30.00%","±0.2",2014
"Mean Social Security income (dollars)","Iowa","17,952","±89","(X)","(X)",2014
"With retirement income","Iowa","203,270","±1,919","16.50%","±0.1",2014
"Mean retirement income (dollars)","Iowa","19,179","±326","(X)","(X)",2014
"With Supplemental Security Income","Iowa","50,377","±1,271","4.10%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Iowa","9,498","±155","(X)","(X)",2014
"With cash public assistance income","Iowa","31,087","±1,061","2.50%","±0.1",2014
"Mean cash public assistance income (dollars)","Iowa","3,170","±145","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Iowa","142,880","±2,241","11.60%","±0.2",2014
"Families","Iowa","797,031","±2,907","797,031","(X)",2014
"Less than $10,000","Iowa","27,085","±937","3.40%","±0.1",2014
"$10,000 to $14,999","Iowa","18,696","±835","2.30%","±0.1",2014
"$15,000 to $24,999","Iowa","52,443","±1,365","6.60%","±0.2",2014
"$25,000 to $34,999","Iowa","67,654","±1,358","8.50%","±0.2",2014
"$35,000 to $49,999","Iowa","108,497","±1,849","13.60%","±0.2",2014
"$50,000 to $74,999","Iowa","178,835","±2,382","22.40%","±0.3",2014
"$75,000 to $99,999","Iowa","136,631","±2,039","17.10%","±0.3",2014
"$100,000 to $149,999","Iowa","133,785","±2,147","16.80%","±0.3",2014
"$150,000 to $199,999","Iowa","40,514","±1,210","5.10%","±0.1",2014
"$200,000 or more","Iowa","32,891","±1,034","4.10%","±0.1",2014
"Median family income (dollars)","Iowa","66,829","±402","(X)","(X)",2014
"Mean family income (dollars)","Iowa","81,424","±536","(X)","(X)",2014
"Per capita income (dollars)","Iowa","27,621","±144","(X)","(X)",2014
"Nonfamily households","Iowa","435,197","±2,917","435,197","(X)",2014
"Median nonfamily income (dollars)","Iowa","29,996","±357","(X)","(X)",2014
"Mean nonfamily income (dollars)","Iowa","39,933","±409","(X)","(X)",2014
"Median earnings for workers (dollars)","Iowa","30,246","±149","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Iowa","46,376","±224","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Iowa","35,894","±210","(X)","(X)",2014
"Total households","Kansas","1,112,335","±3,321","1,112,335","(X)",2014
"Less than $10,000","Kansas","71,267","±1,670","6.40%","±0.1",2014
"$10,000 to $14,999","Kansas","57,127","±1,360","5.10%","±0.1",2014
"$15,000 to $24,999","Kansas","119,160","±2,196","10.70%","±0.2",2014
"$25,000 to $34,999","Kansas","124,222","±1,927","11.20%","±0.2",2014
"$35,000 to $49,999","Kansas","163,621","±2,299","14.70%","±0.2",2014
"$50,000 to $74,999","Kansas","215,234","±2,604","19.30%","±0.2",2014
"$75,000 to $99,999","Kansas","140,116","±2,478","12.60%","±0.2",2014
"$100,000 to $149,999","Kansas","138,000","±2,171","12.40%","±0.2",2014
"$150,000 to $199,999","Kansas","44,231","±1,323","4.00%","±0.1",2014
"$200,000 or more","Kansas","39,357","±1,014","3.50%","±0.1",2014
"Median household income (dollars)","Kansas","51,872","±245","(X)","(X)",2014
"Mean household income (dollars)","Kansas","69,271","±381","(X)","(X)",2014
"With earnings","Kansas","893,961","±3,097","80.40%","±0.2",2014
"Mean earnings (dollars)","Kansas","69,364","±400","(X)","(X)",2014
"With Social Security","Kansas","317,464","±2,078","28.50%","±0.2",2014
"Mean Social Security income (dollars)","Kansas","18,204","±84","(X)","(X)",2014
"With retirement income","Kansas","180,605","±2,148","16.20%","±0.2",2014
"Mean retirement income (dollars)","Kansas","19,968","±437","(X)","(X)",2014
"With Supplemental Security Income","Kansas","45,449","±1,336","4.10%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Kansas","8,871","±138","(X)","(X)",2014
"With cash public assistance income","Kansas","24,157","±984","2.20%","±0.1",2014
"Mean cash public assistance income (dollars)","Kansas","3,405","±169","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Kansas","106,372","±1,890","9.60%","±0.2",2014
"Families","Kansas","730,983","±3,559","730,983","(X)",2014
"Less than $10,000","Kansas","26,727","±1,071","3.70%","±0.1",2014
"$10,000 to $14,999","Kansas","19,324","±919","2.60%","±0.1",2014
"$15,000 to $24,999","Kansas","51,560","±1,244","7.10%","±0.2",2014
"$25,000 to $34,999","Kansas","66,132","±1,501","9.00%","±0.2",2014
"$35,000 to $49,999","Kansas","100,261","±1,895","13.70%","±0.3",2014
"$50,000 to $74,999","Kansas","154,465","±2,177","21.10%","±0.3",2014
"$75,000 to $99,999","Kansas","115,954","±2,159","15.90%","±0.3",2014
"$100,000 to $149,999","Kansas","121,146","±1,988","16.60%","±0.3",2014
"$150,000 to $199,999","Kansas","39,896","±1,254","5.50%","±0.2",2014
"$200,000 or more","Kansas","35,518","±902","4.90%","±0.1",2014
"Median family income (dollars)","Kansas","65,804","±406","(X)","(X)",2014
"Mean family income (dollars)","Kansas","83,035","±488","(X)","(X)",2014
"Per capita income (dollars)","Kansas","27,367","±163","(X)","(X)",2014
"Nonfamily households","Kansas","381,352","±3,127","381,352","(X)",2014
"Median nonfamily income (dollars)","Kansas","30,021","±275","(X)","(X)",2014
"Mean nonfamily income (dollars)","Kansas","40,490","±518","(X)","(X)",2014
"Median earnings for workers (dollars)","Kansas","29,793","±185","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Kansas","46,426","±307","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Kansas","35,558","±261","(X)","(X)",2014
"Total households","Kentucky","1,702,235","±5,177","1,702,235","(X)",2014
"Less than $10,000","Kentucky","168,682","±2,750","9.90%","±0.2",2014
"$10,000 to $14,999","Kentucky","119,741","±2,223","7.00%","±0.1",2014
"$15,000 to $24,999","Kentucky","220,919","±3,009","13.00%","±0.2",2014
"$25,000 to $34,999","Kentucky","195,808","±2,944","11.50%","±0.2",2014
"$35,000 to $49,999","Kentucky","247,007","±2,904","14.50%","±0.2",2014
"$50,000 to $74,999","Kentucky","300,197","±3,214","17.60%","±0.2",2014
"$75,000 to $99,999","Kentucky","186,269","±2,665","10.90%","±0.1",2014
"$100,000 to $149,999","Kentucky","172,399","±2,292","10.10%","±0.1",2014
"$150,000 to $199,999","Kentucky","47,882","±1,303","2.80%","±0.1",2014
"$200,000 or more","Kentucky","43,331","±1,291","2.50%","±0.1",2014
"Median household income (dollars)","Kentucky","43,342","±237","(X)","(X)",2014
"Mean household income (dollars)","Kentucky","59,312","±295","(X)","(X)",2014
"With earnings","Kentucky","1,240,319","±4,463","72.90%","±0.2",2014
"Mean earnings (dollars)","Kentucky","62,236","±359","(X)","(X)",2014
"With Social Security","Kentucky","569,679","±3,177","33.50%","±0.2",2014
"Mean Social Security income (dollars)","Kentucky","16,444","±64","(X)","(X)",2014
"With retirement income","Kentucky","334,864","±2,905","19.70%","±0.2",2014
"Mean retirement income (dollars)","Kentucky","20,842","±264","(X)","(X)",2014
"With Supplemental Security Income","Kentucky","135,194","±2,187","7.90%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Kentucky","8,736","±85","(X)","(X)",2014
"With cash public assistance income","Kentucky","43,006","±1,451","2.50%","±0.1",2014
"Mean cash public assistance income (dollars)","Kentucky","3,221","±138","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Kentucky","294,172","±3,410","17.30%","±0.2",2014
"Families","Kentucky","1,134,316","±5,334","1,134,316","(X)",2014
"Less than $10,000","Kentucky","71,666","±1,767","6.30%","±0.2",2014
"$10,000 to $14,999","Kentucky","48,288","±1,523","4.30%","±0.1",2014
"$15,000 to $24,999","Kentucky","114,700","±2,101","10.10%","±0.2",2014
"$25,000 to $34,999","Kentucky","117,064","±2,122","10.30%","±0.2",2014
"$35,000 to $49,999","Kentucky","164,901","±2,676","14.50%","±0.2",2014
"$50,000 to $74,999","Kentucky","226,884","±2,933","20.00%","±0.2",2014
"$75,000 to $99,999","Kentucky","156,995","±2,489","13.80%","±0.2",2014
"$100,000 to $149,999","Kentucky","151,934","±2,372","13.40%","±0.2",2014
"$150,000 to $199,999","Kentucky","43,463","±1,237","3.80%","±0.1",2014
"$200,000 or more","Kentucky","38,421","±1,225","3.40%","±0.1",2014
"Median family income (dollars)","Kentucky","54,928","±373","(X)","(X)",2014
"Mean family income (dollars)","Kentucky","70,337","±406","(X)","(X)",2014
"Per capita income (dollars)","Kentucky","23,741","±125","(X)","(X)",2014
"Nonfamily households","Kentucky","567,919","±4,154","567,919","(X)",2014
"Median nonfamily income (dollars)","Kentucky","24,435","±263","(X)","(X)",2014
"Mean nonfamily income (dollars)","Kentucky","35,145","±470","(X)","(X)",2014
"Median earnings for workers (dollars)","Kentucky","26,888","±129","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Kentucky","43,743","±278","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Kentucky","33,978","±248","(X)","(X)",2014
"Total households","Louisiana","1,718,876","±4,824","1,718,876","(X)",2014
"Less than $10,000","Louisiana","172,143","±2,399","10.00%","±0.1",2014
"$10,000 to $14,999","Louisiana","119,002","±2,230","6.90%","±0.1",2014
"$15,000 to $24,999","Louisiana","219,661","±3,112","12.80%","±0.2",2014
"$25,000 to $34,999","Louisiana","187,654","±3,041","10.90%","±0.2",2014
"$35,000 to $49,999","Louisiana","230,590","±3,080","13.40%","±0.2",2014
"$50,000 to $74,999","Louisiana","281,464","±3,334","16.40%","±0.2",2014
"$75,000 to $99,999","Louisiana","189,756","±3,209","11.00%","±0.2",2014
"$100,000 to $149,999","Louisiana","195,072","±3,132","11.30%","±0.2",2014
"$150,000 to $199,999","Louisiana","65,446","±1,684","3.80%","±0.1",2014
"$200,000 or more","Louisiana","58,088","±1,702","3.40%","±0.1",2014
"Median household income (dollars)","Louisiana","44,991","±329","(X)","(X)",2014
"Mean household income (dollars)","Louisiana","63,565","±379","(X)","(X)",2014
"With earnings","Louisiana","1,321,660","±4,896","76.90%","±0.2",2014
"Mean earnings (dollars)","Louisiana","66,529","±403","(X)","(X)",2014
"With Social Security","Louisiana","496,418","±2,892","28.90%","±0.1",2014
"Mean Social Security income (dollars)","Louisiana","15,674","±79","(X)","(X)",2014
"With retirement income","Louisiana","275,357","±2,911","16.00%","±0.2",2014
"Mean retirement income (dollars)","Louisiana","21,306","±312","(X)","(X)",2014
"With Supplemental Security Income","Louisiana","124,988","±2,639","7.30%","±0.2",2014
"Mean Supplemental Security Income (dollars)","Louisiana","8,759","±94","(X)","(X)",2014
"With cash public assistance income","Louisiana","26,131","±987","1.50%","±0.1",2014
"Mean cash public assistance income (dollars)","Louisiana","3,026","±151","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Louisiana","281,819","±3,165","16.40%","±0.2",2014
"Families","Louisiana","1,133,340","±5,006","1,133,340","(X)",2014
"Less than $10,000","Louisiana","74,734","±1,691","6.60%","±0.1",2014
"$10,000 to $14,999","Louisiana","49,868","±1,571","4.40%","±0.1",2014
"$15,000 to $24,999","Louisiana","116,605","±2,259","10.30%","±0.2",2014
"$25,000 to $34,999","Louisiana","113,778","±2,291","10.00%","±0.2",2014
"$35,000 to $49,999","Louisiana","149,385","±2,520","13.20%","±0.2",2014
"$50,000 to $74,999","Louisiana","201,298","±3,097","17.80%","±0.3",2014
"$75,000 to $99,999","Louisiana","152,763","±2,767","13.50%","±0.2",2014
"$100,000 to $149,999","Louisiana","166,516","±3,139","14.70%","±0.3",2014
"$150,000 to $199,999","Louisiana","57,438","±1,572","5.10%","±0.1",2014
"$200,000 or more","Louisiana","50,955","±1,523","4.50%","±0.1",2014
"Median family income (dollars)","Louisiana","56,755","±524","(X)","(X)",2014
"Mean family income (dollars)","Louisiana","75,064","±461","(X)","(X)",2014
"Per capita income (dollars)","Louisiana","24,775","±140","(X)","(X)",2014
"Nonfamily households","Louisiana","585,536","±3,723","585,536","(X)",2014
"Median nonfamily income (dollars)","Louisiana","25,757","±295","(X)","(X)",2014
"Mean nonfamily income (dollars)","Louisiana","38,576","±419","(X)","(X)",2014
"Median earnings for workers (dollars)","Louisiana","28,948","±272","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Louisiana","48,742","±483","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Louisiana","32,478","±227","(X)","(X)",2014
"Total households","Maine","553,086","±2,062","553,086","(X)",2014
"Less than $10,000","Maine","38,107","±1,260","6.90%","±0.2",2014
"$10,000 to $14,999","Maine","35,726","±1,149","6.50%","±0.2",2014
"$15,000 to $24,999","Maine","65,070","±1,489","11.80%","±0.3",2014
"$25,000 to $34,999","Maine","64,351","±1,481","11.60%","±0.3",2014
"$35,000 to $49,999","Maine","79,031","±1,784","14.30%","±0.3",2014
"$50,000 to $74,999","Maine","104,541","±1,903","18.90%","±0.3",2014
"$75,000 to $99,999","Maine","70,084","±1,653","12.70%","±0.3",2014
"$100,000 to $149,999","Maine","61,560","±1,524","11.10%","±0.3",2014
"$150,000 to $199,999","Maine","18,358","±726","3.30%","±0.1",2014
"$200,000 or more","Maine","16,258","±813","2.90%","±0.1",2014
"Median household income (dollars)","Maine","48,804","±481","(X)","(X)",2014
"Mean household income (dollars)","Maine","64,327","±546","(X)","(X)",2014
"With earnings","Maine","414,631","±2,369","75.00%","±0.3",2014
"Mean earnings (dollars)","Maine","65,073","±644","(X)","(X)",2014
"With Social Security","Maine","189,448","±1,663","34.30%","±0.3",2014
"Mean Social Security income (dollars)","Maine","16,660","±133","(X)","(X)",2014
"With retirement income","Maine","106,398","±1,749","19.20%","±0.3",2014
"Mean retirement income (dollars)","Maine","21,273","±534","(X)","(X)",2014
"With Supplemental Security Income","Maine","33,949","±1,064","6.10%","±0.2",2014
"Mean Supplemental Security Income (dollars)","Maine","9,649","±190","(X)","(X)",2014
"With cash public assistance income","Maine","25,715","±1,052","4.60%","±0.2",2014
"Mean cash public assistance income (dollars)","Maine","2,991","±169","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Maine","95,403","±1,689","17.20%","±0.3",2014
"Families","Maine","347,972","±2,256","347,972","(X)",2014
"Less than $10,000","Maine","13,384","±670","3.80%","±0.2",2014
"$10,000 to $14,999","Maine","10,308","±636","3.00%","±0.2",2014
"$15,000 to $24,999","Maine","28,774","±977","8.30%","±0.3",2014
"$25,000 to $34,999","Maine","35,390","±1,171","10.20%","±0.3",2014
"$35,000 to $49,999","Maine","48,882","±1,354","14.00%","±0.4",2014
"$50,000 to $74,999","Maine","74,347","±1,613","21.40%","±0.4",2014
"$75,000 to $99,999","Maine","55,563","±1,441","16.00%","±0.4",2014
"$100,000 to $149,999","Maine","51,882","±1,372","14.90%","±0.4",2014
"$150,000 to $199,999","Maine","15,751","±667","4.50%","±0.2",2014
"$200,000 or more","Maine","13,691","±696","3.90%","±0.2",2014
"Median family income (dollars)","Maine","61,824","±608","(X)","(X)",2014
"Mean family income (dollars)","Maine","76,851","±718","(X)","(X)",2014
"Per capita income (dollars)","Maine","27,332","±225","(X)","(X)",2014
"Nonfamily households","Maine","205,114","±2,266","205,114","(X)",2014
"Median nonfamily income (dollars)","Maine","27,714","±554","(X)","(X)",2014
"Mean nonfamily income (dollars)","Maine","39,891","±674","(X)","(X)",2014
"Median earnings for workers (dollars)","Maine","27,957","±333","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Maine","45,361","±537","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Maine","36,006","±342","(X)","(X)",2014
"Total households","Maryland","2,155,983","±5,424","2,155,983","(X)",2014
"Less than $10,000","Maryland","111,267","±2,247","5.20%","±0.1",2014
"$10,000 to $14,999","Maryland","71,812","±1,767","3.30%","±0.1",2014
"$15,000 to $24,999","Maryland","148,500","±2,679","6.90%","±0.1",2014
"$25,000 to $34,999","Maryland","156,517","±2,641","7.30%","±0.1",2014
"$35,000 to $49,999","Maryland","230,383","±2,607","10.70%","±0.1",2014
"$50,000 to $74,999","Maryland","370,377","±3,692","17.20%","±0.2",2014
"$75,000 to $99,999","Maryland","289,137","±3,738","13.40%","±0.2",2014
"$100,000 to $149,999","Maryland","391,031","±3,740","18.10%","±0.2",2014
"$150,000 to $199,999","Maryland","191,596","±2,656","8.90%","±0.1",2014
"$200,000 or more","Maryland","195,363","±2,526","9.10%","±0.1",2014
"Median household income (dollars)","Maryland","74,149","±395","(X)","(X)",2014
"Mean household income (dollars)","Maryland","97,135","±408","(X)","(X)",2014
"With earnings","Maryland","1,772,809","±5,251","82.20%","±0.1",2014
"Mean earnings (dollars)","Maryland","97,808","±432","(X)","(X)",2014
"With Social Security","Maryland","557,847","±3,600","25.90%","±0.2",2014
"Mean Social Security income (dollars)","Maryland","17,848","±81","(X)","(X)",2014
"With retirement income","Maryland","433,090","±3,664","20.10%","±0.2",2014
"Mean retirement income (dollars)","Maryland","31,198","±320","(X)","(X)",2014
"With Supplemental Security Income","Maryland","91,271","±1,846","4.20%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Maryland","9,469","±126","(X)","(X)",2014
"With cash public assistance income","Maryland","55,925","±1,479","2.60%","±0.1",2014
"Mean cash public assistance income (dollars)","Maryland","3,976","±131","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Maryland","224,151","±2,682","10.40%","±0.1",2014
"Families","Maryland","1,445,917","±6,015","1,445,917","(X)",2014
"Less than $10,000","Maryland","45,396","±1,663","3.10%","±0.1",2014
"$10,000 to $14,999","Maryland","26,881","±1,165","1.90%","±0.1",2014
"$15,000 to $24,999","Maryland","67,930","±1,909","4.70%","±0.1",2014
"$25,000 to $34,999","Maryland","86,694","±2,039","6.00%","±0.1",2014
"$35,000 to $49,999","Maryland","137,429","±2,316","9.50%","±0.2",2014
"$50,000 to $74,999","Maryland","235,136","±3,056","16.30%","±0.2",2014
"$75,000 to $99,999","Maryland","205,170","±3,264","14.20%","±0.2",2014
"$100,000 to $149,999","Maryland","305,559","±3,381","21.10%","±0.2",2014
"$150,000 to $199,999","Maryland","161,916","±2,547","11.20%","±0.2",2014
"$200,000 or more","Maryland","173,806","±2,447","12.00%","±0.2",2014
"Median family income (dollars)","Maryland","89,416","±559","(X)","(X)",2014
"Mean family income (dollars)","Maryland","112,955","±569","(X)","(X)",2014
"Per capita income (dollars)","Maryland","36,670","±165","(X)","(X)",2014
"Nonfamily households","Maryland","710,066","±4,654","710,066","(X)",2014
"Median nonfamily income (dollars)","Maryland","46,090","±404","(X)","(X)",2014
"Mean nonfamily income (dollars)","Maryland","60,380","±448","(X)","(X)",2014
"Median earnings for workers (dollars)","Maryland","40,501","±162","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Maryland","60,165","±333","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Maryland","50,743","±244","(X)","(X)",2014
"Total households","Massachusetts","2,538,485","±4,546","2,538,485","(X)",2014
"Less than $10,000","Massachusetts","154,704","±2,312","6.10%","±0.1",2014
"$10,000 to $14,999","Massachusetts","132,186","±2,512","5.20%","±0.1",2014
"$15,000 to $24,999","Massachusetts","219,986","±3,174","8.70%","±0.1",2014
"$25,000 to $34,999","Massachusetts","196,879","±3,061","7.80%","±0.1",2014
"$35,000 to $49,999","Massachusetts","267,241","±2,985","10.50%","±0.1",2014
"$50,000 to $74,999","Massachusetts","402,049","±3,898","15.80%","±0.2",2014
"$75,000 to $99,999","Massachusetts","322,545","±3,416","12.70%","±0.1",2014
"$100,000 to $149,999","Massachusetts","426,367","±4,015","16.80%","±0.1",2014
"$150,000 to $199,999","Massachusetts","201,539","±3,073","7.90%","±0.1",2014
"$200,000 or more","Massachusetts","214,989","±3,113","8.50%","±0.1",2014
"Median household income (dollars)","Massachusetts","67,846","±387","(X)","(X)",2014
"Mean household income (dollars)","Massachusetts","92,850","±447","(X)","(X)",2014
"With earnings","Massachusetts","1,995,359","±5,339","78.60%","±0.1",2014
"Mean earnings (dollars)","Massachusetts","97,469","±500","(X)","(X)",2014
"With Social Security","Massachusetts","722,412","±3,667","28.50%","±0.1",2014
"Mean Social Security income (dollars)","Massachusetts","17,313","±75","(X)","(X)",2014
"With retirement income","Massachusetts","405,892","±4,209","16.00%","±0.2",2014
"Mean retirement income (dollars)","Massachusetts","25,440","±324","(X)","(X)",2014
"With Supplemental Security Income","Massachusetts","160,256","±2,642","6.30%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Massachusetts","9,813","±86","(X)","(X)",2014
"With cash public assistance income","Massachusetts","77,279","±1,817","3.00%","±0.1",2014
"Mean cash public assistance income (dollars)","Massachusetts","4,688","±90","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Massachusetts","313,989","±3,607","12.40%","±0.1",2014
"Families","Massachusetts","1,615,062","±6,687","1,615,062","(X)",2014
"Less than $10,000","Massachusetts","59,047","±1,605","3.70%","±0.1",2014
"$10,000 to $14,999","Massachusetts","40,102","±1,292","2.50%","±0.1",2014
"$15,000 to $24,999","Massachusetts","93,322","±2,467","5.80%","±0.2",2014
"$25,000 to $34,999","Massachusetts","105,073","±2,259","6.50%","±0.1",2014
"$35,000 to $49,999","Massachusetts","154,549","±2,425","9.60%","±0.2",2014
"$50,000 to $74,999","Massachusetts","250,684","±3,087","15.50%","±0.2",2014
"$75,000 to $99,999","Massachusetts","226,045","±3,127","14.00%","±0.2",2014
"$100,000 to $149,999","Massachusetts","331,419","±3,758","20.50%","±0.2",2014
"$150,000 to $199,999","Massachusetts","168,403","±2,800","10.40%","±0.2",2014
"$200,000 or more","Massachusetts","186,418","±3,003","11.50%","±0.2",2014
"Median family income (dollars)","Massachusetts","86,132","±494","(X)","(X)",2014
"Mean family income (dollars)","Massachusetts","111,411","±593","(X)","(X)",2014
"Per capita income (dollars)","Massachusetts","36,441","±185","(X)","(X)",2014
"Nonfamily households","Massachusetts","923,423","±5,515","923,423","(X)",2014
"Median nonfamily income (dollars)","Massachusetts","39,227","±397","(X)","(X)",2014
"Mean nonfamily income (dollars)","Massachusetts","56,995","±520","(X)","(X)",2014
"Median earnings for workers (dollars)","Massachusetts","37,436","±183","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Massachusetts","61,714","±259","(X)","(X)",2014
"Median earnings for female full-time, year-round workers (dollars)","Massachusetts","49,567","±299","(X)","(X)",2014
"Total households","Michigan","3,827,880","±9,311","3,827,880","(X)",2014
"Less than $10,000","Michigan","308,023","±3,174","8.00%","±0.1",2014
"$10,000 to $14,999","Michigan","211,941","±3,131","5.50%","±0.1",2014
"$15,000 to $24,999","Michigan","446,084","±3,061","11.70%","±0.1",2014
"$25,000 to $34,999","Michigan","424,007","±3,169","11.10%","±0.1",2014
"$35,000 to $49,999","Michigan","553,748","±3,885","14.50%","±0.1",2014
"$50,000 to $74,999","Michigan","707,412","±4,915","18.50%","±0.1",2014
"$75,000 to $99,999","Michigan","456,176","±3,970","11.90%","±0.1",2014
"$100,000 to $149,999","Michigan","445,647","±4,286","11.60%","±0.1",2014
"$150,000 to $199,999","Michigan","150,246","±2,313","3.90%","±0.1",2014
"$200,000 or more","Michigan","124,596","±2,040","3.30%","±0.1",2014
"Median household income (dollars)","Michigan","49,087","±192","(X)","(X)",2014
"Mean household income (dollars)","Michigan","65,790","±242","(X)","(X)",2014
"With earnings","Michigan","2,815,773","±8,043","73.60%","±0.1",2014
"Mean earnings (dollars)","Michigan","67,764","±295","(X)","(X)",2014
"With Social Security","Michigan","1,264,143","±4,755","33.00%","±0.1",2014
"Mean Social Security income (dollars)","Michigan","18,606","±48","(X)","(X)",2014
"With retirement income","Michigan","871,667","±4,044","22.80%","±0.1",2014
"Mean retirement income (dollars)","Michigan","21,940","±179","(X)","(X)",2014
"With Supplemental Security Income","Michigan","231,867","±3,066","6.10%","±0.1",2014
"Mean Supplemental Security Income (dollars)","Michigan","9,704","±79","(X)","(X)",2014
"With cash public assistance income","Michigan","141,242","±2,134","3.70%","±0.1",2014
"Mean cash public assistance income (dollars)","Michigan","3,227","±70","(X)","(X)",2014
"With Food Stamp/SNAP benefits in the past 12 months","Michigan","653,958","±4,672","17.10%","±0.1",2014
"Families","Michigan","2,501,059","±8,359","2,501,059","(X)",2014
"Less than $10,000","Michigan","131,894","±2,494","5.30%","±0.1",2014
"$10,000 to $14,999","Michigan","83,260","±1,866","3.30%","±0.1",2014
"$15,000 to $24,999","Michigan","202,314","±2,510","8.10%","±0.1",2014
"$25,000 to $34,999","Michigan","229,042","±2,386","9.20%","±0.1",2014
"$35,000 to $49,999","Michigan","347,507","±2,955","13.90%","±0.1",2014
"$50,000 to $74,999","Michigan","509,489","±3,968","20.40%","±0.1",2014
"$75,000 to $99,999","Michigan","364,642","±3,516","14.60%","±0.1",2014
"$100,000 to $149,999","Michigan","385,690","±4,115","15.40%","±0.1",2014
"$150,000 to $199,999","Michigan","135,560","±2,256","5.40%","±0.1",2014
"$200,000 or more","Michigan","111,661","±1,873","4.50%","±0.1",2014
"Median family income (dollars)","Michigan","61,684","±249","(X)","(X)",2014
"Mean family income (dollars)","Michigan","78,408","±325","(X)","(X)",2014
"Per capita income (dollars)","Michigan","26,143","±108","(X)","(X)",2014
"Nonfamily households","Michigan","1,326,821","±5,294","1,326,821","(X)",2014
"Median nonfamily income (dollars)","Michigan","28,923","±175","(X)","(X)",2014
"Mean nonfamily income (dollars)","Michigan","39,704","±260","(X)","(X)",2014
"Median earnings for workers (dollars)","Michigan","27,763","±164","(X)","(X)",2014
"Median earnings for male full-time, year-round workers (dollars)","Michigan","50,845","±182","(X)","(X)",2014
