"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Public transportation (excluding taxicab)","Massachusetts","311,072","±4,300","9.50%","±0.1",2014
"Walked","Massachusetts","155,546","±3,160","4.70%","±0.1",2014
"Other means","Massachusetts","53,589","±1,707","1.60%","±0.1",2014
"Worked at home","Massachusetts","145,980","±2,768","4.40%","±0.1",2014
"Mean travel time to work (minutes)","Massachusetts","28.3","±0.1","(X)","(X)",2014
"Workers 16 years and over","Michigan","4,199,791","±10,130","4,199,791","(X)",2014
"Car, truck, or van -- drove alone","Michigan","3,472,512","±10,043","82.70%","±0.1",2014
"Car, truck, or van -- carpooled","Michigan","371,773","±3,934","8.90%","±0.1",2014
"Public transportation (excluding taxicab)","Michigan","59,087","±1,789","1.40%","±0.1",2014
"Walked","Michigan","91,329","±2,089","2.20%","±0.1",2014
"Other means","Michigan","52,149","±1,760","1.20%","±0.1",2014
"Worked at home","Michigan","152,941","±2,735","3.60%","±0.1",2014
"Mean travel time to work (minutes)","Michigan","24.1","±0.1","(X)","(X)",2014
"Workers 16 years and over","Minnesota","2,733,199","±5,682","2,733,199","(X)",2014
"Car, truck, or van -- drove alone","Minnesota","2,133,374","±6,560","78.10%","±0.2",2014
"Car, truck, or van -- carpooled","Minnesota","241,094","±3,174","8.80%","±0.1",2014
"Public transportation (excluding taxicab)","Minnesota","95,068","±2,472","3.50%","±0.1",2014
"Walked","Minnesota","77,257","±1,500","2.80%","±0.1",2014
"Other means","Minnesota","44,703","±1,419","1.60%","±0.1",2014
"Worked at home","Minnesota","141,703","±2,343","5.20%","±0.1",2014
"Mean travel time to work (minutes)","Minnesota","23","±0.1","(X)","(X)",2014
"Workers 16 years and over","Mississippi","1,183,892","±5,391","1,183,892","(X)",2014
"Car, truck, or van -- drove alone","Mississippi","995,987","±5,766","84.10%","±0.3",2014
"Car, truck, or van -- carpooled","Mississippi","120,804","±2,879","10.20%","±0.2",2014
"Public transportation (excluding taxicab)","Mississippi","4,903","±609","0.40%","±0.1",2014
"Walked","Mississippi","18,695","±1,068","1.60%","±0.1",2014
"Other means","Mississippi","16,863","±1,150","1.40%","±0.1",2014
"Worked at home","Mississippi","26,640","±1,160","2.30%","±0.1",2014
"Mean travel time to work (minutes)","Mississippi","24","±0.2","(X)","(X)",2014
"Workers 16 years and over","Missouri","2,747,017","±7,544","2,747,017","(X)",2014
"Car, truck, or van -- drove alone","Missouri","2,241,382","±8,379","81.60%","±0.2",2014
"Car, truck, or van -- carpooled","Missouri","258,639","±4,174","9.40%","±0.1",2014
"Public transportation (excluding taxicab)","Missouri","40,785","±1,500","1.50%","±0.1",2014
"Walked","Missouri","54,235","±1,830","2.00%","±0.1",2014
"Other means","Missouri","35,082","±1,490","1.30%","±0.1",2014
"Worked at home","Missouri","116,894","±2,258","4.30%","±0.1",2014
"Mean travel time to work (minutes)","Missouri","23.1","±0.1","(X)","(X)",2014
"Workers 16 years and over","Montana","473,349","±2,850","473,349","(X)",2014
"Car, truck, or van -- drove alone","Montana","356,557","±2,835","75.30%","±0.4",2014
"Car, truck, or van -- carpooled","Montana","48,837","±1,555","10.30%","±0.3",2014
"Public transportation (excluding taxicab)","Montana","4,004","±442","0.80%","±0.1",2014
"Walked","Montana","22,657","±924","4.80%","±0.2",2014
"Other means","Montana","11,068","±658","2.30%","±0.1",2014
"Worked at home","Montana","30,226","±1,106","6.40%","±0.2",2014
"Mean travel time to work (minutes)","Montana","18.3","±0.2","(X)","(X)",2014
"Workers 16 years and over","Nebraska","945,395","±3,089","945,395","(X)",2014
"Car, truck, or van -- drove alone","Nebraska","767,564","±3,299","81.20%","±0.2",2014
"Car, truck, or van -- carpooled","Nebraska","91,000","±2,060","9.60%","±0.2",2014
"Public transportation (excluding taxicab)","Nebraska","6,514","±504","0.70%","±0.1",2014
"Walked","Nebraska","26,232","±953","2.80%","±0.1",2014
"Other means","Nebraska","12,017","±704","1.30%","±0.1",2014
"Worked at home","Nebraska","42,068","±1,140","4.40%","±0.1",2014
"Mean travel time to work (minutes)","Nebraska","18.2","±0.1","(X)","(X)",2014
"Workers 16 years and over","Nevada","1,225,882","±4,942","1,225,882","(X)",2014
"Car, truck, or van -- drove alone","Nevada","956,620","±5,144","78.00%","±0.3",2014
"Car, truck, or van -- carpooled","Nevada","134,052","±3,507","10.90%","±0.3",2014
"Public transportation (excluding taxicab)","Nevada","43,956","±1,760","3.60%","±0.1",2014
"Walked","Nevada","25,339","±1,329","2.10%","±0.1",2014
"Other means","Nevada","25,901","±1,530","2.10%","±0.1",2014
"Worked at home","Nevada","40,014","±1,721","3.30%","±0.1",2014
"Mean travel time to work (minutes)","Nevada","23.8","±0.1","(X)","(X)",2014
"Workers 16 years and over","New Hampshire","676,708","±3,069","676,708","(X)",2014
"Car, truck, or van -- drove alone","New Hampshire","550,028","±3,460","81.30%","±0.4",2014
"Car, truck, or van -- carpooled","New Hampshire","53,807","±2,019","8.00%","±0.3",2014
"Public transportation (excluding taxicab)","New Hampshire","5,752","±503","0.80%","±0.1",2014
"Walked","New Hampshire","19,736","±1,139","2.90%","±0.2",2014
"Other means","New Hampshire","8,232","±653","1.20%","±0.1",2014
"Worked at home","New Hampshire","39,153","±1,420","5.80%","±0.2",2014
"Mean travel time to work (minutes)","New Hampshire","26.6","±0.2","(X)","(X)",2014
"Workers 16 years and over","New Jersey","4,144,855","±10,036","4,144,855","(X)",2014
"Car, truck, or van -- drove alone","New Jersey","2,980,567","±9,586","71.90%","±0.2",2014
"Car, truck, or van -- carpooled","New Jersey","344,371","±5,169","8.30%","±0.1",2014
"Public transportation (excluding taxicab)","New Jersey","452,797","±4,692","10.90%","±0.1",2014
"Walked","New Jersey","125,477","±2,981","3.00%","±0.1",2014
"Other means","New Jersey","78,533","±2,640","1.90%","±0.1",2014
"Worked at home","New Jersey","163,110","±2,828","3.90%","±0.1",2014
"Mean travel time to work (minutes)","New Jersey","30.7","±0.1","(X)","(X)",2014
"Workers 16 years and over","New Mexico","869,118","±4,623","869,118","(X)",2014
"Car, truck, or van -- drove alone","New Mexico","689,513","±4,644","79.30%","±0.4",2014
"Car, truck, or van -- carpooled","New Mexico","90,875","±2,861","10.50%","±0.3",2014
"Public transportation (excluding taxicab)","New Mexico","9,977","±701","1.10%","±0.1",2014
"Walked","New Mexico","19,476","±1,060","2.20%","±0.1",2014
"Other means","New Mexico","17,675","±1,064","2.00%","±0.1",2014
"Worked at home","New Mexico","41,602","±1,474","4.80%","±0.2",2014
"Mean travel time to work (minutes)","New Mexico","21.7","±0.2","(X)","(X)",2014
"Workers 16 years and over","New York","8,950,165","±13,986","8,950,165","(X)",2014
"Car, truck, or van -- drove alone","New York","4,796,959","±13,089","53.60%","±0.1",2014
"Car, truck, or van -- carpooled","New York","609,864","±6,076","6.80%","±0.1",2014
"Public transportation (excluding taxicab)","New York","2,452,313","±9,385","27.40%","±0.1",2014
"Walked","New York","569,569","±5,987","6.40%","±0.1",2014
"Other means","New York","169,339","±3,338","1.90%","±0.1",2014
"Worked at home","New York","352,121","±4,273","3.90%","±0.1",2014
"Mean travel time to work (minutes)","New York","31.9","±0.1","(X)","(X)",2014
"Workers 16 years and over","North Carolina","4,280,414","±11,304","4,280,414","(X)",2014
"Car, truck, or van -- drove alone","North Carolina","3,473,982","±11,134","81.20%","±0.2",2014
"Car, truck, or van -- carpooled","North Carolina","434,506","±5,812","10.20%","±0.1",2014
"Public transportation (excluding taxicab)","North Carolina","47,796","±1,627","1.10%","±0.1",2014
"Walked","North Carolina","76,009","±2,165","1.80%","±0.1",2014
"Other means","North Carolina","56,261","±1,936","1.30%","±0.1",2014
"Worked at home","North Carolina","191,860","±3,244","4.50%","±0.1",2014
"Mean travel time to work (minutes)","North Carolina","23.7","±0.1","(X)","(X)",2014
"Workers 16 years and over","North Dakota","377,678","±2,069","377,678","(X)",2014
"Car, truck, or van -- drove alone","North Dakota","301,713","±2,196","79.90%","±0.4",2014
"Car, truck, or van -- carpooled","North Dakota","34,907","±1,235","9.20%","±0.3",2014
"Public transportation (excluding taxicab)","North Dakota","2,067","±310","0.50%","±0.1",2014
"Walked","North Dakota","14,622","±761","3.90%","±0.2",2014
"Other means","North Dakota","4,967","±437","1.30%","±0.1",2014
"Worked at home","North Dakota","19,402","±689","5.10%","±0.2",2014
"Mean travel time to work (minutes)","North Dakota","17.1","±0.2","(X)","(X)",2014
"Workers 16 years and over","Ohio","5,199,477","±10,689","5,199,477","(X)",2014
"Car, truck, or van -- drove alone","Ohio","4,343,119","±10,687","83.50%","±0.1",2014
"Car, truck, or van -- carpooled","Ohio","413,099","±4,973","7.90%","±0.1",2014
"Public transportation (excluding taxicab)","Ohio","84,385","±2,133","1.60%","±0.1",2014
"Walked","Ohio","118,668","±2,657","2.30%","±0.1",2014
"Other means","Ohio","57,709","±1,711","1.10%","±0.1",2014
"Worked at home","Ohio","182,497","±3,190","3.50%","±0.1",2014
"Mean travel time to work (minutes)","Ohio","23.1","±0.1","(X)","(X)",2014
"Workers 16 years and over","Oklahoma","1,686,185","±4,316","1,686,185","(X)",2014
"Car, truck, or van -- drove alone","Oklahoma","1,386,835","±5,254","82.20%","±0.2",2014
"Car, truck, or van -- carpooled","Oklahoma","176,931","±3,383","10.50%","±0.2",2014
"Public transportation (excluding taxicab)","Oklahoma","8,100","±540","0.50%","±0.1",2014
"Walked","Oklahoma","30,203","±1,386","1.80%","±0.1",2014
"Other means","Oklahoma","23,872","±837","1.40%","±0.1",2014
"Worked at home","Oklahoma","60,244","±1,678","3.60%","±0.1",2014
"Mean travel time to work (minutes)","Oklahoma","21.2","±0.1","(X)","(X)",2014
"Workers 16 years and over","Oregon","1,715,236","±6,111","1,715,236","(X)",2014
"Car, truck, or van -- drove alone","Oregon","1,224,553","±6,427","71.40%","±0.3",2014
"Car, truck, or van -- carpooled","Oregon","178,896","±3,918","10.40%","±0.2",2014
"Public transportation (excluding taxicab)","Oregon","74,092","±1,987","4.30%","±0.1",2014
"Walked","Oregon","69,951","±2,132","4.10%","±0.1",2014
"Other means","Oregon","58,858","±1,940","3.40%","±0.1",2014
"Worked at home","Oregon","108,886","±2,498","6.30%","±0.1",2014
"Mean travel time to work (minutes)","Oregon","22.7","±0.1","(X)","(X)",2014
"Workers 16 years and over","Pennsylvania","5,826,933","±11,472","5,826,933","(X)",2014
"Car, truck, or van -- drove alone","Pennsylvania","4,465,894","±11,828","76.60%","±0.1",2014
"Car, truck, or van -- carpooled","Pennsylvania","511,242","±4,935","8.80%","±0.1",2014
"Public transportation (excluding taxicab)","Pennsylvania","320,222","±4,279","5.50%","±0.1",2014
"Walked","Pennsylvania","224,476","±3,783","3.90%","±0.1",2014
"Other means","Pennsylvania","78,194","±1,864","1.30%","±0.1",2014
"Worked at home","Pennsylvania","226,905","±3,416","3.90%","±0.1",2014
"Mean travel time to work (minutes)","Pennsylvania","26.1","±0.1","(X)","(X)",2014
"Workers 16 years and over","Rhode Island","501,177","±2,974","501,177","(X)",2014
"Car, truck, or van -- drove alone","Rhode Island","401,831","±3,281","80.20%","±0.4",2014
"Car, truck, or van -- carpooled","Rhode Island","40,854","±1,955","8.20%","±0.4",2014
"Public transportation (excluding taxicab)","Rhode Island","14,403","±921","2.90%","±0.2",2014
"Walked","Rhode Island","18,737","±927","3.70%","±0.2",2014
"Other means","Rhode Island","7,900","±746","1.60%","±0.2",2014
"Worked at home","Rhode Island","17,452","±1,007","3.50%","±0.2",2014
"Mean travel time to work (minutes)","Rhode Island","23.8","±0.2","(X)","(X)",2014
"Workers 16 years and over","South Carolina","2,022,019","±6,541","2,022,019","(X)",2014
"Car, truck, or van -- drove alone","South Carolina","1,672,070","±6,827","82.70%","±0.2",2014
"Car, truck, or van -- carpooled","South Carolina","188,542","±3,878","9.30%","±0.2",2014
"Public transportation (excluding taxicab)","South Carolina","12,322","±855","0.60%","±0.1",2014
"Walked","South Carolina","42,556","±1,881","2.10%","±0.1",2014
"Other means","South Carolina","33,523","±1,555","1.70%","±0.1",2014
"Worked at home","South Carolina","73,006","±2,355","3.60%","±0.1",2014
"Mean travel time to work (minutes)","South Carolina","23.8","±0.1","(X)","(X)",2014
"Workers 16 years and over","South Dakota","420,700","±2,169","420,700","(X)",2014
"Car, truck, or van -- drove alone","South Dakota","331,547","±2,358","78.80%","±0.4",2014
"Car, truck, or van -- carpooled","South Dakota","40,051","±1,365","9.50%","±0.3",2014
"Public transportation (excluding taxicab)","South Dakota","2,107","±308","0.50%","±0.1",2014
"Walked","South Dakota","17,385","±933","4.10%","±0.2",2014
"Other means","South Dakota","6,638","±660","1.60%","±0.2",2014
"Worked at home","South Dakota","22,972","±781","5.50%","±0.2",2014
"Mean travel time to work (minutes)","South Dakota","16.9","±0.2","(X)","(X)",2014
"Workers 16 years and over","Tennessee","2,788,201","±7,615","2,788,201","(X)",2014
"Car, truck, or van -- drove alone","Tennessee","2,333,601","±7,518","83.70%","±0.2",2014
"Car, truck, or van -- carpooled","Tennessee","264,811","±4,474","9.50%","±0.2",2014
"Public transportation (excluding taxicab)","Tennessee","22,585","±1,109","0.80%","±0.1",2014
"Walked","Tennessee","36,894","±1,367","1.30%","±0.1",2014
"Other means","Tennessee","31,556","±1,460","1.10%","±0.1",2014
"Worked at home","Tennessee","98,754","±2,508","3.50%","±0.1",2014
"Mean travel time to work (minutes)","Tennessee","24.4","±0.1","(X)","(X)",2014
"Workers 16 years and over","Texas","11,685,902","±18,351","11,685,902","(X)",2014
"Car, truck, or van -- drove alone","Texas","9,351,857","±18,181","80.00%","±0.1",2014
"Car, truck, or van -- carpooled","Texas","1,280,501","±10,537","11.00%","±0.1",2014
"Public transportation (excluding taxicab)","Texas","182,962","±2,942","1.60%","±0.1",2014
"Walked","Texas","188,810","±3,419","1.60%","±0.1",2014
"Other means","Texas","207,478","±4,739","1.80%","±0.1",2014
"Worked at home","Texas","474,294","±6,655","4.10%","±0.1",2014
"Mean travel time to work (minutes)","Texas","25.2","±0.1","(X)","(X)",2014
"Workers 16 years and over","Utah","1,282,333","±3,939","1,282,333","(X)",2014
"Car, truck, or van -- drove alone","Utah","978,566","±4,536","76.30%","±0.3",2014
"Car, truck, or van -- carpooled","Utah","152,602","±3,093","11.90%","±0.2",2014
"Public transportation (excluding taxicab)","Utah","30,823","±1,330","2.40%","±0.1",2014
"Walked","Utah","32,668","±1,304","2.50%","±0.1",2014
"Other means","Utah","25,073","±1,116","2.00%","±0.1",2014
"Worked at home","Utah","62,601","±1,596","4.90%","±0.1",2014
"Mean travel time to work (minutes)","Utah","21.6","±0.1","(X)","(X)",2014
"Workers 16 years and over","Vermont","316,919","±1,813","316,919","(X)",2014
"Car, truck, or van -- drove alone","Vermont","237,511","±2,078","74.90%","±0.5",2014
"Car, truck, or van -- carpooled","Vermont","30,778","±1,113","9.70%","±0.3",2014
"Public transportation (excluding taxicab)","Vermont","3,809","±425","1.20%","±0.1",2014
"Walked","Vermont","17,766","±773","5.60%","±0.2",2014
"Other means","Vermont","5,044","±493","1.60%","±0.2",2014
"Worked at home","Vermont","22,011","±862","6.90%","±0.3",2014
"Mean travel time to work (minutes)","Vermont","22.3","±0.2","(X)","(X)",2014
"Workers 16 years and over","Virginia","3,964,601","±8,749","3,964,601","(X)",2014
"Car, truck, or van -- drove alone","Virginia","3,070,930","±9,494","77.50%","±0.2",2014
"Car, truck, or van -- carpooled","Virginia","378,982","±5,257","9.60%","±0.1",2014
"Public transportation (excluding taxicab)","Virginia","178,442","±3,169","4.50%","±0.1",2014
"Walked","Virginia","94,518","±2,854","2.40%","±0.1",2014
"Other means","Virginia","59,936","±1,764","1.50%","±0.1",2014
"Worked at home","Virginia","181,793","±3,814","4.60%","±0.1",2014
"Mean travel time to work (minutes)","Virginia","27.8","±0.1","(X)","(X)",2014
"Workers 16 years and over","Washington","3,171,197","±7,618","3,171,197","(X)",2014
"Car, truck, or van -- drove alone","Washington","2,306,013","±7,652","72.70%","±0.2",2014
"Car, truck, or van -- carpooled","Washington","328,529","±4,852","10.40%","±0.2",2014
"Public transportation (excluding taxicab)","Washington","187,675","±3,556","5.90%","±0.1",2014
"Walked","Washington","110,647","±2,620","3.50%","±0.1",2014
"Other means","Washington","66,989","±1,931","2.10%","±0.1",2014
"Worked at home","Washington","171,344","±2,895","5.40%","±0.1",2014
"Mean travel time to work (minutes)","Washington","25.9","±0.1","(X)","(X)",2014
"Workers 16 years and over","West Virginia","736,438","±3,852","736,438","(X)",2014
"Car, truck, or van -- drove alone","West Virginia","606,215","±4,109","82.30%","±0.3",2014
"Car, truck, or van -- carpooled","West Virginia","75,463","±2,332","10.20%","±0.3",2014
"Public transportation (excluding taxicab)","West Virginia","5,501","±485","0.70%","±0.1",2014
"Walked","West Virginia","20,967","±1,082","2.80%","±0.2",2014
"Other means","West Virginia","7,413","±684","1.00%","±0.1",2014
"Worked at home","West Virginia","20,879","±1,058","2.80%","±0.1",2014
"Mean travel time to work (minutes)","West Virginia","25.6","±0.2","(X)","(X)",2014
"Workers 16 years and over","Wisconsin","2,804,563","±6,580","2,804,563","(X)",2014
"Car, truck, or van -- drove alone","Wisconsin","2,255,722","±6,624","80.40%","±0.2",2014
"Car, truck, or van -- carpooled","Wisconsin","241,706","±3,767","8.60%","±0.1",2014
"Public transportation (excluding taxicab)","Wisconsin","51,694","±1,754","1.80%","±0.1",2014
"Walked","Wisconsin","93,260","±2,134","3.30%","±0.1",2014
"Other means","Wisconsin","47,696","±1,608","1.70%","±0.1",2014
"Worked at home","Wisconsin","114,485","±2,014","4.10%","±0.1",2014
"Mean travel time to work (minutes)","Wisconsin","21.8","±0.1","(X)","(X)",2014
"Workers 16 years and over","Wyoming","288,257","±1,982","288,257","(X)",2014
"Car, truck, or van -- drove alone","Wyoming","220,791","±2,284","76.60%","±0.6",2014
"Car, truck, or van -- carpooled","Wyoming","32,265","±1,416","11.20%","±0.5",2014
"Public transportation (excluding taxicab)","Wyoming","4,645","±532","1.60%","±0.2",2014
"Walked","Wyoming","10,821","±799","3.80%","±0.3",2014
"Other means","Wyoming","6,322","±658","2.20%","±0.2",2014
"Worked at home","Wyoming","13,413","±889","4.70%","±0.3",2014
"Mean travel time to work (minutes)","Wyoming","18.3","±0.3","(X)","(X)",2014
"Workers 16 years and over","Puerto Rico","1,041,197","±4,854","1,041,197","(X)",2014
"Car, truck, or van -- drove alone","Puerto Rico","837,128","±5,022","80.40%","±0.3",2014
"Car, truck, or van -- carpooled","Puerto Rico","96,832","±2,282","9.30%","±0.2",2014
"Public transportation (excluding taxicab)","Puerto Rico","27,691","±1,133","2.70%","±0.1",2014
"Walked","Puerto Rico","36,095","±1,306","3.50%","±0.1",2014
"Other means","Puerto Rico","20,898","±1,038","2.00%","±0.1",2014
"Worked at home","Puerto Rico","22,553","±1,015","2.20%","±0.1",2014
"Mean travel time to work (minutes)","Puerto Rico","29.6","±0.2","(X)","(X)",2014
"Workers 16 years and over","Alabama","2,073,072","±8,208","2,073,072","(X)",2019
"Car, truck, or van -- drove alone","Alabama","1,776,620","±7,960","85.70%","±0.2",2019
"Car, truck, or van -- carpooled","Alabama","176,668","±4,279","8.50%","±0.2",2019
"Public transportation (excluding taxicab)","Alabama","6,927","±716","0.30%","±0.1",2019
"Walked","Alabama","23,376","±1,182","1.10%","±0.1",2019
"Other means","Alabama","20,316","±1,265","1.00%","±0.1",2019
"Worked from home","Alabama","69,165","±1,930","3.30%","±0.1",2019
"Mean travel time to work (minutes)","Alabama","24.9","±0.1","(X)","(X)",2019
"Workers 16 years and over","Alaska","356,400","±2,215","356,400","(X)",2019
"Car, truck, or van -- drove alone","Alaska","244,771","±2,909","68.70%","±0.7",2019
"Car, truck, or van -- carpooled","Alaska","43,680","±1,602","12.30%","±0.4",2019
"Public transportation (excluding taxicab)","Alaska","4,640","±548","1.30%","±0.2",2019
"Walked","Alaska","27,220","±1,143","7.60%","±0.3",2019
"Other means","Alaska","19,063","±794","5.30%","±0.2",2019
"Worked from home","Alaska","17,026","±1,009","4.80%","±0.3",2019
"Mean travel time to work (minutes)","Alaska","19.1","±0.3","(X)","(X)",2019
"Workers 16 years and over","Arizona","3,094,170","±8,068","3,094,170","(X)",2019
"Car, truck, or van -- drove alone","Arizona","2,363,506","±8,595","76.40%","±0.2",2019
"Car, truck, or van -- carpooled","Arizona","336,630","±5,003","10.90%","±0.2",2019
"Public transportation (excluding taxicab)","Arizona","55,922","±2,345","1.80%","±0.1",2019
"Walked","Arizona","59,158","±1,738","1.90%","±0.1",2019
"Other means","Arizona","78,007","±2,200","2.50%","±0.1",2019
"Worked from home","Arizona","200,947","±3,514","6.50%","±0.1",2019
"Mean travel time to work (minutes)","Arizona","25.7","±0.1","(X)","(X)",2019
"Workers 16 years and over","Arkansas","1,287,774","±6,001","1,287,774","(X)",2019
"Car, truck, or van -- drove alone","Arkansas","1,066,828","±5,483","82.80%","±0.3",2019
"Car, truck, or van -- carpooled","Arkansas","133,919","±3,138","10.40%","±0.2",2019
"Public transportation (excluding taxicab)","Arkansas","4,579","±580","0.40%","±0.1",2019
"Walked","Arkansas","22,782","±1,142","1.80%","±0.1",2019
"Other means","Arkansas","15,205","±1,105","1.20%","±0.1",2019
"Worked from home","Arkansas","44,461","±1,575","3.50%","±0.1",2019
"Mean travel time to work (minutes)","Arkansas","21.7","±0.1","(X)","(X)",2019
"Workers 16 years and over","California","18,191,555","±21,076","18,191,555","(X)",2019
"Car, truck, or van -- drove alone","California","13,411,041","±17,348","73.70%","±0.1",2019
"Car, truck, or van -- carpooled","California","1,841,632","±16,674","10.10%","±0.1",2019
"Public transportation (excluding taxicab)","California","923,834","±7,563","5.10%","±0.1",2019
"Walked","California","476,291","±5,234","2.60%","±0.1",2019
"Other means","California","464,791","±5,414","2.60%","±0.1",2019
"Worked from home","California","1,073,966","±8,330","5.90%","±0.1",2019
"Mean travel time to work (minutes)","California","29.8","±0.1","(X)","(X)",2019
"Workers 16 years and over","Colorado","2,886,239","±6,812","2,886,239","(X)",2019
"Car, truck, or van -- drove alone","Colorado","2,165,547","±7,591","75.00%","±0.2",2019
"Car, truck, or van -- carpooled","Colorado","250,417","±4,188","8.70%","±0.1",2019
"Public transportation (excluding taxicab)","Colorado","87,734","±2,329","3.00%","±0.1",2019
"Walked","Colorado","81,742","±2,193","2.80%","±0.1",2019
"Other means","Colorado","62,681","±2,048","2.20%","±0.1",2019
"Worked from home","Colorado","238,118","±3,635","8.30%","±0.1",2019
"Mean travel time to work (minutes)","Colorado","25.8","±0.1","(X)","(X)",2019
"Workers 16 years and over","Connecticut","1,786,592","±6,029","1,786,592","(X)",2019
"Car, truck, or van -- drove alone","Connecticut","1,397,871","±5,414","78.20%","±0.2",2019
"Car, truck, or van -- carpooled","Connecticut","141,799","±3,292","7.90%","±0.2",2019
"Public transportation (excluding taxicab)","Connecticut","83,525","±2,022","4.70%","±0.1",2019
"Walked","Connecticut","48,323","±1,808","2.70%","±0.1",2019
"Other means","Connecticut","21,108","±1,090","1.20%","±0.1",2019
"Worked from home","Connecticut","93,966","±2,381","5.30%","±0.1",2019
"Mean travel time to work (minutes)","Connecticut","26.6","±0.2","(X)","(X)",2019
"Workers 16 years and over","Delaware","450,308","±3,042","450,308","(X)",2019
"Car, truck, or van -- drove alone","Delaware","364,263","±3,164","80.90%","±0.5",2019
"Car, truck, or van -- carpooled","Delaware","37,721","±1,664","8.40%","±0.4",2019
"Public transportation (excluding taxicab)","Delaware","11,458","±776","2.50%","±0.2",2019
"Walked","Delaware","9,535","±601","2.10%","±0.1",2019
"Other means","Delaware","4,786","±581","1.10%","±0.1",2019
"Worked from home","Delaware","22,545","±1,261","5.00%","±0.3",2019
"Mean travel time to work (minutes)","Delaware","26.3","±0.3","(X)","(X)",2019
"Workers 16 years and over","District of Columbia","373,844","±2,455","373,844","(X)",2019
"Car, truck, or van -- drove alone","District of Columbia","125,308","±2,316","33.50%","±0.6",2019
"Car, truck, or van -- carpooled","District of Columbia","19,464","±967","5.20%","±0.3",2019
"Public transportation (excluding taxicab)","District of Columbia","129,713","±2,677","34.70%","±0.7",2019
"Walked","District of Columbia","49,976","±1,606","13.40%","±0.4",2019
"Other means","District of Columbia","24,633","±1,343","6.60%","±0.4",2019
"Worked from home","District of Columbia","24,750","±1,254","6.60%","±0.3",2019
"Mean travel time to work (minutes)","District of Columbia","30.8","±0.2","(X)","(X)",2019
"Workers 16 years and over","Florida","9,383,111","±16,761","9,383,111","(X)",2019
"Car, truck, or van -- drove alone","Florida","7,420,475","±17,581","79.10%","±0.1",2019
"Car, truck, or van -- carpooled","Florida","865,300","±12,142","9.20%","±0.1",2019
"Public transportation (excluding taxicab)","Florida","170,350","±3,661","1.80%","±0.1",2019
"Walked","Florida","134,920","±3,509","1.40%","±0.1",2019
"Other means","Florida","213,654","±4,299","2.30%","±0.1",2019
"Worked from home","Florida","578,412","±6,721","6.20%","±0.1",2019
"Mean travel time to work (minutes)","Florida","27.8","±0.1","(X)","(X)",2019
"Workers 16 years and over","Georgia","4,781,201","±11,436","4,781,201","(X)",2019
"Car, truck, or van -- drove alone","Georgia","3,787,591","±10,295","79.20%","±0.2",2019
"Car, truck, or van -- carpooled","Georgia","460,494","±6,699","9.60%","±0.1",2019
"Public transportation (excluding taxicab)","Georgia","100,374","±3,004","2.10%","±0.1",2019
"Walked","Georgia","71,329","±2,138","1.50%","±0.1",2019
"Other means","Georgia","82,649","±2,497","1.70%","±0.1",2019
"Worked from home","Georgia","278,764","±4,347","5.80%","±0.1",2019
"Mean travel time to work (minutes)","Georgia","28.8","±0.1","(X)","(X)",2019
"Workers 16 years and over","Hawaii","704,850","±3,355","704,850","(X)",2019
"Car, truck, or van -- drove alone","Hawaii","475,427","±3,735","67.50%","±0.4",2019
"Car, truck, or van -- carpooled","Hawaii","98,524","±2,255","14.00%","±0.3",2019
"Public transportation (excluding taxicab)","Hawaii","43,590","±1,469","6.20%","±0.2",2019
"Walked","Hawaii","31,920","±1,271","4.50%","±0.2",2019
"Other means","Hawaii","21,449","±1,056","3.00%","±0.1",2019
"Worked from home","Hawaii","33,940","±1,316","4.80%","±0.2",2019
"Mean travel time to work (minutes)","Hawaii","27.5","±0.2","(X)","(X)",2019
"Workers 16 years and over","Idaho","781,670","±3,976","781,670","(X)",2019
"Car, truck, or van -- drove alone","Idaho","613,669","±4,447","78.50%","±0.4",2019
"Car, truck, or van -- carpooled","Idaho","77,467","±2,441","9.90%","±0.3",2019
"Public transportation (excluding taxicab)","Idaho","5,681","±606","0.70%","±0.1",2019
"Walked","Idaho","20,956","±1,171","2.70%","±0.2",2019
"Other means","Idaho","15,248","±911","2.00%","±0.1",2019
"Worked from home","Idaho","48,649","±1,742","6.20%","±0.2",2019
"Mean travel time to work (minutes)","Idaho","21.1","±0.2","(X)","(X)",2019
"Workers 16 years and over","Illinois","6,151,965","±11,800","6,151,965","(X)",2019
"Car, truck, or van -- drove alone","Illinois","4,487,622","±10,776","72.90%","±0.1",2019
"Car, truck, or van -- carpooled","Illinois","484,736","±6,354","7.90%","±0.1",2019
"Public transportation (excluding taxicab)","Illinois","581,552","±5,425","9.50%","±0.1",2019
"Walked","Illinois","182,930","±3,399","3.00%","±0.1",2019
"Other means","Illinois","110,912","±2,413","1.80%","±0.1",2019
"Worked from home","Illinois","304,213","±3,832","4.90%","±0.1",2019
"Mean travel time to work (minutes)","Illinois","29.2","±0.1","(X)","(X)",2019
"Workers 16 years and over","Indiana","3,146,465","±8,168","3,146,465","(X)",2019
"Car, truck, or van -- drove alone","Indiana","2,599,677","±7,162","82.60%","±0.2",2019
"Car, truck, or van -- carpooled","Indiana","279,877","±4,592","8.90%","±0.1",2019
"Public transportation (excluding taxicab)","Indiana","31,236","±1,532","1.00%","±0.1",2019
